epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,33005.9,0.65366,0.88032,0.41723,0.86435,0,0.97073,0.95413,0.97077,0.79859,0.96611,0.95057,0.96526,0.76365,0.62021,0.98569,0.41295,0.86176,0,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,33572.2,0.65433,0.88607,0.41448,0.86496,0,0.9675,0.94352,0.96735,0.79328,0.96358,0.93968,0.95632,0.772,0.62066,1.03035,0.41521,0.86003,0,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,34138,0.64175,0.87099,0.40847,0.86061,0,0.97853,0.94863,0.97447,0.8063,0.97494,0.94381,0.96647,0.77353,0.61509,1.03215,0.40539,0.85954,0,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,34711,0.6429,0.87636,0.4099,0.86128,0,0.97644,0.94117,0.97095,0.79983,0.97516,0.93994,0.96553,0.77329,0.61565,1.03108,0.4151,0.85949,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,35297.3,0.6392,0.85871,0.40749,0.8601,0,0.9728,0.94996,0.96324,0.79549,0.9685,0.94575,0.96133,0.76341,0.62409,1.07495,0.43837,0.86522,0,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,35874,0.6381,0.86051,0.40579,0.85701,0,0.97446,0.95433,0.97034,0.79505,0.97138,0.95136,0.96905,0.76422,0.62635,0.99135,0.41194,0.85923,0,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,36453.1,0.63202,0.85247,0.40184,0.85884,0,0.97266,0.95671,0.97495,0.80018,0.96572,0.94993,0.96798,0.75361,0.63226,1.01894,0.41336,0.86596,0,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,37034.9,0.63968,0.86057,0.4064,0.8604,0,0.96759,0.95868,0.97273,0.80273,0.96208,0.95267,0.96961,0.76482,0.61374,0.95914,0.41377,0.85636,0,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,37606.6,0.62882,0.86084,0.39839,0.85538,0,0.97452,0.94191,0.9648,0.79864,0.97452,0.94191,0.96316,0.76739,0.61417,1.0359,0.41979,0.85729,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,38174.6,0.63642,0.853,0.40214,0.85799,0,0.98388,0.94156,0.96878,0.81019,0.9826,0.94033,0.96589,0.76557,0.6,1.0636,0.42309,0.85802,0,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,38735.3,0.62597,0.85146,0.39513,0.85427,0,0.98658,0.9408,0.96798,0.79941,0.97437,0.92928,0.95569,0.76642,0.6135,1.04673,0.41261,0.86114,0,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,39335,0.62346,0.85245,0.39717,0.85236,0,0.98515,0.94922,0.97358,0.80679,0.97763,0.94204,0.96728,0.76948,0.61224,1.0268,0.40588,0.85982,0,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,40041,0.62735,0.85754,0.39851,0.85492,0,0.97898,0.94338,0.96946,0.80433,0.95779,0.92057,0.94417,0.68232,0.5956,1.03433,0.40702,0.85931,0,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,40685.7,0.62238,0.83738,0.39541,0.85323,0,0.97643,0.93969,0.96449,0.8049,0.97021,0.93378,0.96427,0.76438,0.61671,1.08682,0.39493,0.86344,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,41259.2,0.63038,0.8413,0.3964,0.85625,0,0.97504,0.94736,0.96817,0.80228,0.96317,0.92123,0.94106,0.69586,0.61057,1.10019,0.40884,0.86406,0,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,41931.7,0.61415,0.82851,0.38751,0.85367,0,0.97506,0.9512,0.971,0.80368,0.97119,0.94736,0.96161,0.76801,0.6018,1.02653,0.38501,0.86426,0,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,42564.6,0.62252,0.84932,0.39405,0.85517,0,0.96603,0.95286,0.97368,0.80905,0.96047,0.94742,0.96648,0.76937,0.60157,1.02715,0.40109,0.85936,0,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,43178.6,0.61595,0.83434,0.3927,0.8564,0,0.95962,0.95858,0.97641,0.80636,0.95657,0.95569,0.97422,0.78114,0.59056,1.02549,0.39366,0.86099,0,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,43757.2,0.60875,0.83206,0.38582,0.8491,0,0.97416,0.94509,0.97208,0.81196,0.96797,0.93917,0.96697,0.77495,0.58412,1.03643,0.39821,0.85861,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,44321.8,0.61229,0.84206,0.39251,0.85641,0,0.97036,0.95578,0.96671,0.80779,0.95576,0.94127,0.94754,0.77078,0.58186,1.03061,0.39747,0.85526,0,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,44895.3,0.61144,0.81964,0.38425,0.85359,0,0.97013,0.94286,0.96874,0.79853,0.97277,0.94547,0.97394,0.77031,0.60709,1.03405,0.40671,0.86193,0,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,45484,0.61029,0.8278,0.38709,0.84978,0,0.97115,0.95083,0.97063,0.81106,0.96206,0.9419,0.96334,0.77967,0.58859,1.08635,0.38659,0.85974,0,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,46060.3,0.60934,0.82943,0.38429,0.85284,0,0.97147,0.95309,0.96841,0.80036,0.95663,0.93862,0.94558,0.75721,0.60479,1.09137,0.39533,0.86038,0,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,46634.8,0.61254,0.81603,0.38547,0.85363,0,0.97087,0.94617,0.96524,0.81011,0.96694,0.94233,0.96261,0.77405,0.5895,1.01772,0.39241,0.86288,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
82,47205.5,0.6019,0.823,0.37817,0.85185,0,0.96757,0.95245,0.97036,0.80616,0.95882,0.94391,0.9562,0.77597,0.59279,1.05115,0.3852,0.85523,0,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
83,47781.5,0.59916,0.81677,0.37782,0.85087,0,0.96674,0.95221,0.97457,0.82101,0.95496,0.94083,0.9622,0.76726,0.58246,1.07391,0.39057,0.85726,0,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,48355.7,0.60673,0.8206,0.3856,0.8545,0,0.97188,0.95517,0.96911,0.80527,0.95943,0.9419,0.9536,0.76748,0.59117,1.08932,0.40958,0.85853,0,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,48931.3,0.59884,0.81423,0.3777,0.84891,0,0.96952,0.94614,0.96588,0.81155,0.96952,0.94614,0.97359,0.76869,0.5945,1.01455,0.39669,0.86058,0,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,49521.1,0.59634,0.81812,0.37541,0.84627,0,0.9675,0.95392,0.97352,0.80587,0.96021,0.94674,0.9684,0.77509,0.60493,1.04335,0.38478,0.85958,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,50100.2,0.59812,0.81078,0.37461,0.84749,0,0.97547,0.95667,0.97237,0.8085,0.96196,0.94346,0.95902,0.77788,0.58653,1.03552,0.38091,0.85522,0,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
